rep,mean_abs_r,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1
35,0.32522355014226884,46,3.4494043703576573,1.9801054298877716,0.043045770214951554,0.16254514455795288,17
36,0.3432302573499672,35,3.0360281078275926,1.9292582161724567,0.05512166331921305,0.22072798013687134,11
37,0.37843481487473674,39,3.2402030237745687,1.7824952155351639,0.045705005526542664,0.17699360847473145,13
38,0.34653662585598677,41,3.259669086789219,1.5885522961616516,0.03874517795516223,0.13909417390823364,12
39,0.37641742959542207,27,2.829594948161341,1.2600722312927246,0.04666934189973054,0.18316197395324707,8
40,0.3488780638785035,45,3.4177322675294217,2.043345347046852,0.04540767437881894,0.18055015802383423,13
41,0.33492733565230853,39,3.4097084787197014,1.791219837963581,0.045928713793937974,0.14209502935409546,15
42,0.3600812286113232,34,3.1656488907571463,1.652458906173706,0.04860173253452077,0.16126704216003418,14
43,0.3654734613341963,36,3.136938382403073,1.7707139775156975,0.04918649937543604,0.24351206421852112,10
44,0.3524603177394565,35,3.2325001208505655,1.438510701060295,0.04110030574457986,0.14148378372192383,9
45,0.3524694623330673,31,3.096036007499626,1.7618224769830704,0.05683298312848614,0.15548759698867798,11
46,0.33739642868447994,42,3.464105547041889,1.6941371411085129,0.04033659859782174,0.15637671947479248,15
47,0.35669503835453603,35,3.2342723501628607,2.155987799167633,0.06159965140478951,0.2117810845375061,12
48,0.35905784307173944,36,3.3115069625131217,1.6677407771348953,0.04632613269819154,0.14265072345733643,10
49,0.3455774635007615,43,3.3854040442961537,1.3419839814305305,0.031208929800710012,0.1434287428855896,12
50,0.3673849803567095,41,3.4141556106645647,1.9844404980540276,0.048400987757415304,0.18510699272155762,10
51,0.34882068155359625,37,3.3062734454820024,1.8730201870203018,0.050622167216764914,0.12520140409469604,13
52,0.3620590811090282,35,3.1933872553274076,1.5226452723145485,0.043504150637558525,0.1234787106513977,9
53,0.3818316796859888,27,3.054159617042486,1.3720475807785988,0.05081657706587403,0.12231174111366272,9
54,0.36268569680044743,29,2.964017199958543,1.3084191232919693,0.04511790080317136,0.176771342754364,10
55,0.3797001452583524,42,3.4249857036416094,2.001778356730938,0.047661389445974714,0.16387885808944702,14
56,0.3787903285371113,34,3.0651173835792402,1.3921643644571304,0.040946010719327366,0.20466798543930054,12
57,0.36548153319663346,31,3.1402465580619796,1.4167823940515518,0.045702657872630705,0.1637677550315857,7
58,0.3405714315861298,35,3.188288703507663,1.202611893415451,0.03436033981187003,0.1457071304321289,9
59,0.3521938231787311,32,3.1596122732930643,1.7405389845371246,0.054391843266785145,0.180716872215271,10
60,0.3575710904224451,32,3.0115685042766844,1.8297305256128311,0.05717907892540097,0.1808280348777771,13
61,0.38637538205056965,29,2.995535275479473,1.1136426776647568,0.0384014716436123,0.1464850902557373,12
62,0.346249010801172,41,3.3675559309769323,1.5555990040302277,0.03794143912268848,0.11992216110229492,14
63,0.3783790504394682,41,3.2921582336926387,1.8354542031884193,0.04476717568752242,0.2119477391242981,9
64,0.3804325744493021,28,2.9923890722710698,1.400889053940773,0.05003175192645618,0.1415393352508545,11
65,0.3703091927785849,32,3.0497193488518946,1.3414836749434471,0.04192136484198272,0.16737985610961914,9
66,0.34588976895832535,41,3.3571773926366237,1.9854958057403564,0.04842672696927699,0.16626840829849243,17
67,0.3332565128850842,43,3.273320682532296,2.1244792342185974,0.049406493819037146,0.20694637298583984,12
68,0.3578523921905171,38,3.3135067497899082,2.2407893240451813,0.05896814010645214,0.19027507305145264,16
69,0.35801087503209406,39,3.350225527297063,1.8297303393483162,0.046916162547392726,0.15476518869400024,12
70,0.3710280985224447,35,3.224282313933631,1.2372878268361092,0.03535108076674598,0.11442065238952637,8
71,0.3789827343038328,42,3.322238945228955,2.0207835137844086,0.04811389318534306,0.1923311948776245,13
72,0.3679877673474701,51,3.5227582883421267,1.5415392518043518,0.030226259839301016,0.1144762635231018,14
73,0.3835321868742593,27,2.840477508966523,1.0742728039622307,0.03978788162823076,0.1474895477294922,7
74,0.33829289781620075,35,3.241038909685479,1.8018338605761528,0.05148096744503294,0.2171158790588379,11
75,0.3536086676678825,29,2.9882724139164862,1.5269796550273895,0.05265447086301343,0.15704357624053955,10
76,0.3878573735074189,29,2.8194242624924537,1.3407436683773994,0.04623254028887584,0.2413160800933838,7
77,0.34671855051156963,34,3.0085775842498954,1.2003334313631058,0.03530392445185605,0.2042233943939209,6
78,0.3767559378308321,30,3.1463390366754798,1.5129757598042488,0.050432525326808295,0.14031672477722168,10
79,0.3647445317088784,36,3.2244071295389065,1.61111418902874,0.044753171917465,0.21411502361297607,8
80,0.35221327302591093,39,3.2713175480569823,1.7525426000356674,0.044936989744504295,0.13048070669174194,12
81,0.35503554081478333,45,3.41325688508642,2.06246180832386,0.045832484629419114,0.17721587419509888,14
82,0.3941898241776021,30,3.0313307356242745,1.50658505782485,0.050219501927495004,0.1460961103439331,10
83,0.35909902891450163,34,3.1896808792627565,1.2494025230407715,0.036747133030610925,0.1397610306739807,8
84,0.351341828426321,42,3.5204523001164705,2.3357600793242455,0.055613335222005844,0.13431507349014282,19
85,0.33642080606075536,29,2.9430975616360433,1.3275355026125908,0.04577708629698589,0.16526812314987183,13
86,0.363429117089487,31,3.1313680594955655,1.4560155496001244,0.04696824353548788,0.1301472783088684,10
87,0.3765937092230261,40,3.2190519292950364,1.5387607514858246,0.03846901878714561,0.14943039417266846,11
88,0.37272804330316794,32,3.163025068056206,1.6766324192285538,0.052394763100892305,0.17482638359069824,11
89,0.3691813830142692,41,3.3786949663170236,1.984384424984455,0.048399620121572076,0.164434552192688,19
90,0.376186511020994,32,3.146364166263614,1.1099195405840874,0.03468498564325273,0.09519308805465698,15
