rep,taxa,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
140,paper_taxa,-0.7715,-0.7769,-1.2463,-0.9257,-0.671,-0.3744,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.3,-0.1293,-0.4555,-0.0066,-0.0223,-1.19
141,paper_taxa,-0.3555,-0.2656,-0.5321,-0.352,-0.5029,-0.1847,0.005988,0.013972,0.001996,0.001996,0.001996,0.065868,-1.97,-0.0452,-0.1886,-0.0025,-0.0153,-0.565
142,paper_taxa,0.0,0.1812,-0.7338,-1.0156,-1.3295,-0.2243,1.0,0.075848,0.001996,0.001996,0.001996,0.02994,0.0,0.0299,-0.2502,-0.0069,-0.0481,-0.71
143,paper_taxa,-0.7231,-0.7066,-1.2453,-0.9002,-0.5628,-0.5834,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.125,-0.1214,-0.4551,-0.0065,-0.0178,-1.86
144,paper_taxa,-0.7562,-0.7165,-1.3421,-1.0486,-0.8561,-0.4847,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-3.995,-0.1156,-0.469,-0.0071,-0.0288,-1.54
145,paper_taxa,-0.4448,-0.5463,-1.0478,-0.9053,-0.5334,-0.7698,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-2.585,-0.0952,-0.3587,-0.0062,-0.0174,-2.42
146,paper_taxa,-0.1717,-0.1593,-1.0629,-1.3615,-1.1556,0.005,0.085828,0.121756,0.001996,0.001996,0.001996,0.976048,-0.895,-0.0249,-0.367,-0.0088,-0.0376,0.015
147,paper_taxa,-0.107,-0.0389,-1.1285,-1.3988,-1.0839,-0.6578,0.259481,0.686627,0.001996,0.001996,0.001996,0.001996,-0.555,-0.0061,-0.3861,-0.0102,-0.0357,-1.92
148,paper_taxa,0.4312,0.3075,-0.2926,-0.9077,-0.263,-0.2266,0.001996,0.001996,0.007984,0.001996,0.017964,0.0499,2.23,0.0508,-0.1007,-0.0062,-0.0083,-0.625
149,paper_taxa,0.8204,0.8081,0.1467,-0.6538,-0.5629,0.2405,0.001996,0.001996,0.145709,0.001996,0.001996,0.01996,4.505,0.1394,0.0514,-0.0049,-0.0179,0.745
150,paper_taxa,0.2836,0.4606,-0.4845,-0.9666,-1.0964,-0.0643,0.001996,0.001996,0.001996,0.001996,0.001996,0.512974,1.48,0.0764,-0.16,-0.0066,-0.0394,-0.185
151,paper_taxa,-1.0356,-0.892,-1.8177,-1.4061,-1.2673,-0.6066,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.405,-0.1378,-0.6119,-0.009,-0.0406,-1.775
152,paper_taxa,-0.4257,-0.306,-0.796,-0.6834,-0.5542,0.1693,0.001996,0.001996,0.001996,0.001996,0.001996,0.065868,-2.48,-0.0529,-0.2976,-0.0049,-0.0185,0.54
153,paper_taxa,0.0581,0.0655,-0.5233,-0.8616,-0.6657,-0.3609,0.560878,0.518962,0.001996,0.001996,0.001996,0.001996,0.325,0.0116,-0.1873,-0.0057,-0.0213,-1.115
154,paper_taxa,-1.406,-1.4142,-1.9644,-1.3092,-0.8722,-1.1988,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-7.915,-0.2207,-0.7705,-0.0093,-0.0281,-3.885
155,paper_taxa,0.8492,0.9083,0.0517,-0.9146,-0.798,0.3084,0.001996,0.001996,0.586826,0.001996,0.001996,0.005988,4.745,0.1638,0.0182,-0.0065,-0.0272,0.925
156,paper_taxa,-1.5861,-1.4585,-1.9395,-0.8877,-0.7881,-0.4784,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.695,-0.2364,-0.6639,-0.0058,-0.0218,-1.45
157,paper_taxa,0.1768,0.164,-0.9186,-1.3929,-1.1165,0.0557,0.053892,0.107784,0.001996,0.001996,0.001996,0.608782,0.92,0.0264,-0.3161,-0.0099,-0.0346,0.165
158,paper_taxa,0.668,0.7877,0.3154,-0.2409,-0.3531,0.5643,0.001996,0.001996,0.001996,0.031936,0.001996,0.001996,3.62,0.1314,0.1117,-0.0017,-0.0109,1.725
