rep,taxa,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
133,detect_taxa,1.5959,1.5609,0.7297,-0.7281,-0.8811,1.3627,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,12.505,0.2243,0.3929,-0.0038,-0.0249,6.79
134,detect_taxa,-1.0803,-0.9222,-1.3182,-0.7251,-0.792,-0.6118,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.315,-0.114,-0.677,-0.0036,-0.0226,-2.93
135,detect_taxa,0.3479,0.3762,-0.2867,-0.8643,-0.8782,0.3092,0.001996,0.003992,0.013972,0.001996,0.001996,0.00998,2.715,0.0502,-0.1456,-0.0044,-0.0244,1.475
136,detect_taxa,0.4022,0.469,-0.6503,-1.5272,-1.4059,0.3046,0.001996,0.001996,0.001996,0.001996,0.001996,0.007984,3.165,0.0635,-0.3531,-0.0079,-0.0373,1.475
137,detect_taxa,0.0643,0.1123,-0.573,-0.8942,-0.8332,-0.3114,0.546906,0.315369,0.001996,0.001996,0.001996,0.003992,0.495,0.0141,-0.2918,-0.0047,-0.0211,-1.455
138,detect_taxa,0.1349,0.2723,-0.3287,-0.6911,-0.7673,0.3575,0.173653,0.003992,0.003992,0.001996,0.001996,0.001996,1.055,0.0349,-0.1744,-0.0035,-0.0222,1.755
139,detect_taxa,-0.0249,0.1047,-0.3365,-0.4724,-0.5647,0.0665,0.828343,0.333333,0.001996,0.001996,0.001996,0.528942,-0.2,0.0138,-0.1773,-0.0024,-0.016,0.305
140,detect_taxa,0.5785,0.5821,-0.2545,-1.0963,-0.7424,0.1352,0.001996,0.001996,0.011976,0.001996,0.001996,0.189621,4.805,0.0777,-0.1301,-0.0057,-0.0191,0.695
141,detect_taxa,0.7316,0.7143,0.435,-0.2178,-0.1117,0.5784,0.001996,0.001996,0.001996,0.035928,0.281437,0.001996,6.285,0.1032,0.2434,-0.0011,-0.0029,3.035
142,detect_taxa,-0.4417,-0.2316,-1.0863,-1.0769,-1.4763,-0.2527,0.001996,0.021956,0.001996,0.001996,0.001996,0.013972,-3.39,-0.029,-0.5416,-0.0053,-0.0448,-1.155
143,detect_taxa,0.2218,0.2967,-0.0492,-0.3614,-0.5575,0.6202,0.043912,0.005988,0.648703,0.001996,0.001996,0.001996,1.94,0.0426,-0.0287,-0.0019,-0.0158,3.42
144,detect_taxa,0.5242,0.4739,-0.044,-0.7158,-0.4395,0.1621,0.001996,0.001996,0.652695,0.001996,0.001996,0.103792,4.58,0.0698,-0.0245,-0.0038,-0.0119,0.855
145,detect_taxa,-0.4446,-0.3453,-0.9073,-0.8565,-0.7689,-0.513,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-3.52,-0.0459,-0.4799,-0.0043,-0.0225,-2.54
146,detect_taxa,0.6618,0.6816,0.16,-0.5757,-0.5596,0.7762,0.001996,0.001996,0.0998,0.001996,0.001996,0.001996,5.44,0.0922,0.0854,-0.0029,-0.0161,4.055
147,detect_taxa,0.6646,0.6583,-0.2561,-1.1104,-0.9118,0.2998,0.001996,0.001996,0.003992,0.001996,0.001996,0.001996,5.055,0.0799,-0.1335,-0.0061,-0.0249,1.41
148,detect_taxa,0.0156,0.052,-0.4806,-0.7321,-0.2523,-0.3214,0.894212,0.592814,0.001996,0.001996,0.013972,0.001996,0.12,0.0068,-0.2495,-0.0039,-0.0064,-1.59
149,detect_taxa,1.616,1.682,0.7651,-0.7675,-1.0692,1.3394,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,12.95,0.2382,0.3998,-0.0041,-0.0311,6.4
150,detect_taxa,0.1483,0.2942,-0.357,-0.7293,-0.9207,0.3133,0.139721,0.005988,0.001996,0.001996,0.001996,0.001996,1.18,0.0403,-0.1857,-0.0036,-0.0265,1.52
151,detect_taxa,0.3054,0.3343,-0.3817,-0.9886,-0.9102,0.4301,0.001996,0.005988,0.001996,0.001996,0.001996,0.001996,2.435,0.0434,-0.1973,-0.0049,-0.0259,2.095
152,detect_taxa,1.5941,1.7022,0.9086,-0.5993,-0.7038,1.3575,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,13.64,0.2392,0.4809,-0.0032,-0.0203,6.745
153,detect_taxa,0.6308,0.695,0.1803,-0.4251,-0.4337,0.4739,0.001996,0.001996,0.06986,0.001996,0.001996,0.001996,5.415,0.1033,0.1031,-0.0024,-0.0133,2.42
154,detect_taxa,-0.5546,-0.5436,-1.1328,-1.1262,-0.8432,-0.8328,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.325,-0.0704,-0.6211,-0.0057,-0.0222,-4.23
155,detect_taxa,1.1175,1.1131,0.4805,-0.683,-0.3984,0.6516,0.001996,0.001996,0.001996,0.001996,0.003992,0.001996,9.215,0.1554,0.2515,-0.0036,-0.0116,3.035
156,detect_taxa,-0.2985,-0.3376,-1.1052,-1.3047,-1.0194,-0.2756,0.001996,0.003992,0.001996,0.001996,0.001996,0.003992,-2.375,-0.0439,-0.587,-0.0069,-0.0304,-1.325
157,detect_taxa,0.7998,0.7513,-0.4623,-1.7469,-1.1926,0.3928,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,6.265,0.0966,-0.2374,-0.0085,-0.0311,1.845
158,detect_taxa,1.9146,2.0796,1.198,-0.4659,-0.9123,1.5878,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,13.96,0.2634,0.5735,-0.0025,-0.03,7.54
159,detect_taxa,-0.0791,0.0637,-0.6537,-0.8871,-0.9341,0.1396,0.43513,0.512974,0.001996,0.001996,0.001996,0.165669,-0.605,0.0078,-0.33,-0.0044,-0.0244,0.66
160,detect_taxa,1.9541,1.9914,0.9559,-0.7961,-1.086,1.3256,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,15.215,0.268,0.5024,-0.0042,-0.0303,6.63
161,detect_taxa,0.3349,0.4207,-0.6485,-1.2725,-1.1574,0.1962,0.001996,0.001996,0.001996,0.001996,0.001996,0.057884,2.48,0.0517,-0.307,-0.0067,-0.0365,0.855
162,detect_taxa,-0.3998,-0.2751,-0.723,-0.6338,-0.5949,-0.3602,0.001996,0.011976,0.001996,0.001996,0.001996,0.001996,-3.08,-0.0347,-0.3639,-0.0031,-0.0163,-1.675
163,detect_taxa,0.4722,0.4302,-0.0246,-0.5717,-0.4857,0.4107,0.001996,0.001996,0.806387,0.001996,0.001996,0.001996,3.63,0.0564,-0.0129,-0.0031,-0.013,1.865
164,detect_taxa,0.9291,0.9204,-0.2502,-1.3979,-0.8542,0.1083,0.001996,0.001996,0.013972,0.001996,0.001996,0.279441,6.965,0.1116,-0.1246,-0.0074,-0.0238,0.52
165,detect_taxa,0.2725,0.4178,-0.0929,-0.4827,-0.8828,1.501,0.015968,0.001996,0.363273,0.001996,0.001996,0.001996,2.21,0.0549,-0.0471,-0.0024,-0.0246,6.51
166,detect_taxa,-1.2799,-1.2424,-2.0016,-1.2947,-0.9505,-1.2763,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-10.31,-0.1604,-0.996,-0.0068,-0.0272,-5.94
167,detect_taxa,-0.7579,-0.6129,-1.2859,-1.0018,-1.2777,-0.2122,0.001996,0.001996,0.001996,0.001996,0.001996,0.053892,-5.88,-0.0744,-0.651,-0.005,-0.0337,-1.005
168,detect_taxa,0.9139,1.0502,0.2373,-0.7146,-0.8511,1.1349,0.001996,0.001996,0.013972,0.001996,0.001996,0.001996,7.235,0.145,0.1255,-0.0038,-0.0227,5.32
169,detect_taxa,0.2722,0.3258,-0.3757,-0.9042,-0.4519,-0.2781,0.005988,0.001996,0.001996,0.001996,0.001996,0.005988,2.305,0.0442,-0.194,-0.0047,-0.0124,-1.42
170,detect_taxa,-1.0532,-0.9479,-1.5123,-1.0767,-0.6125,-0.8173,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.175,-0.1228,-0.7861,-0.0053,-0.016,-4.395
171,detect_taxa,-1.1057,-1.032,-1.6684,-1.1792,-0.8045,-1.0666,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.75,-0.1298,-0.8497,-0.0058,-0.0209,-5.485
172,detect_taxa,-1.252,-1.1783,-1.7545,-1.2643,-1.002,-0.7965,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-10.145,-0.1531,-0.9652,-0.0064,-0.0274,-4.015
173,detect_taxa,1.3641,1.3924,0.792,-0.4477,-0.4789,1.1953,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,11.385,0.2007,0.428,-0.0023,-0.0134,6.13
174,detect_taxa,0.1633,0.1401,-0.3585,-0.7768,-0.4335,0.3596,0.081836,0.179641,0.001996,0.001996,0.001996,0.001996,1.315,0.0187,-0.1971,-0.004,-0.0123,1.765
175,detect_taxa,1.8986,1.9239,1.444,-0.2639,-0.3943,1.3225,0.001996,0.001996,0.001996,0.013972,0.001996,0.001996,15.14,0.2662,0.6967,-0.0014,-0.0109,6.51
176,detect_taxa,0.0027,0.0913,-0.3076,-0.4312,-0.6663,0.2744,0.978044,0.309381,0.001996,0.001996,0.001996,0.007984,0.02,0.011,-0.1511,-0.0022,-0.0184,1.3
177,detect_taxa,-0.0904,0.0493,-0.397,-0.4923,-0.559,0.6477,0.357285,0.644711,0.001996,0.001996,0.001996,0.001996,-0.715,0.0066,-0.2101,-0.0025,-0.016,3.19
178,detect_taxa,-0.2156,-0.2813,-0.7729,-0.9586,-0.2748,-0.6797,0.045908,0.005988,0.001996,0.001996,0.005988,0.001996,-1.74,-0.0369,-0.3951,-0.0045,-0.0077,-3.51
179,detect_taxa,-0.5814,-0.5633,-1.1232,-0.995,-0.8459,-0.4846,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.82,-0.0736,-0.5782,-0.0048,-0.0216,-2.555
180,detect_taxa,-0.0307,-0.0406,-1.0094,-1.4639,-0.8762,-0.4224,0.762475,0.672655,0.001996,0.001996,0.001996,0.001996,-0.245,-0.0053,-0.5317,-0.0077,-0.0239,-1.95
181,detect_taxa,0.1032,0.1588,-0.2977,-0.5788,-0.3668,-0.1093,0.287425,0.111776,0.011976,0.001996,0.001996,0.277445,0.83,0.0206,-0.1528,-0.0029,-0.0093,-0.515
182,detect_taxa,0.9053,0.8593,0.2852,-0.6298,-0.3211,0.3102,0.001996,0.001996,0.001996,0.001996,0.005988,0.003992,6.995,0.1134,0.1461,-0.0033,-0.0091,1.62
183,detect_taxa,-0.1569,-0.0885,-0.5509,-0.6691,-0.6315,0.5721,0.101796,0.379242,0.001996,0.001996,0.001996,0.001996,-1.36,-0.0124,-0.3068,-0.0035,-0.0177,2.91
184,detect_taxa,-0.5762,-0.484,-0.9409,-0.6749,-0.8614,0.1251,0.001996,0.001996,0.001996,0.001996,0.001996,0.197605,-4.775,-0.0629,-0.4927,-0.0036,-0.0235,0.655
185,detect_taxa,0.5669,0.6971,0.1545,-0.4577,-0.7604,0.8364,0.001996,0.001996,0.129741,0.001996,0.001996,0.001996,4.78,0.0973,0.0826,-0.0023,-0.0221,4.04
186,detect_taxa,1.2065,1.2799,0.298,-0.9627,-0.8773,0.7063,0.001996,0.001996,0.007984,0.001996,0.001996,0.001996,9.465,0.1656,0.1605,-0.0052,-0.0238,3.615
187,detect_taxa,1.0644,1.0602,0.5849,-0.3769,-0.6377,1.2836,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,9.075,0.1606,0.3308,-0.002,-0.0176,6.615
188,detect_taxa,1.0326,1.1111,0.4472,-0.5405,-0.742,1.4527,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,7.835,0.1346,0.219,-0.0028,-0.022,7.09
189,detect_taxa,0.0398,0.007,-0.2344,-0.4357,-0.172,0.1529,0.666667,0.94012,0.01996,0.001996,0.073852,0.097804,0.32,0.0009,-0.1204,-0.0021,-0.0048,0.74
190,detect_taxa,-0.4004,-0.2608,-1.1123,-1.233,-1.2312,-0.2502,0.001996,0.00998,0.001996,0.001996,0.001996,0.013972,-3.245,-0.0336,-0.5956,-0.0063,-0.0348,-1.205
191,detect_taxa,0.6306,0.8074,-0.0392,-0.847,-1.1877,1.1489,0.001996,0.001996,0.702595,0.001996,0.001996,0.001996,5.07,0.1088,-0.0202,-0.0042,-0.0331,5.5
192,detect_taxa,0.57,0.4979,-0.2731,-1.2077,-0.5177,-0.0975,0.001996,0.001996,0.001996,0.001996,0.001996,0.317365,4.855,0.0731,-0.1491,-0.0061,-0.0149,-0.51
193,detect_taxa,0.406,0.4796,-0.1829,-0.817,-0.9656,0.8545,0.001996,0.001996,0.063872,0.001996,0.001996,0.001996,3.49,0.066,-0.0974,-0.0042,-0.0279,4.11
194,detect_taxa,0.0196,0.1921,-1.0683,-1.7132,-1.4371,-0.3977,0.820359,0.055888,0.001996,0.001996,0.001996,0.001996,0.155,0.0249,-0.585,-0.0088,-0.0434,-1.94
195,detect_taxa,0.1448,0.174,-0.3994,-0.857,-0.387,-0.2864,0.153693,0.125749,0.001996,0.001996,0.001996,0.015968,1.38,0.0269,-0.2391,-0.0045,-0.0106,-1.655
196,detect_taxa,-0.5303,-0.445,-1.4312,-1.5031,-1.1235,-0.5461,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.2,-0.0576,-0.7424,-0.0076,-0.0303,-2.855
197,detect_taxa,-0.1175,-0.1767,-0.8444,-1.136,-0.8625,-0.3663,0.267465,0.083832,0.001996,0.001996,0.001996,0.001996,-0.94,-0.0238,-0.4496,-0.0062,-0.0238,-1.81
198,detect_taxa,0.5435,0.6051,0.4258,0.0208,-0.454,1.2387,0.001996,0.001996,0.001996,0.834331,0.001996,0.001996,4.41,0.0835,0.2211,0.0001,-0.0128,5.97
199,detect_taxa,1.0733,1.0562,0.1026,-1.1276,-0.5963,0.5714,0.001996,0.001996,0.341317,0.001996,0.001996,0.001996,8.145,0.1356,0.0504,-0.0057,-0.0164,2.585
